"행정구역별(읍면동)",2015,2016,2017,2018,2019,2020,2021,2022
"행정구역별(읍면동)",총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명)
"평택시",457873,472254,486077,504485,521172,542522,571838,590205
"동두천시",97424,98625,97373,97535,96541,95239,94912,94142
"안산시",747035,743072,733661,720105,714650,717345,718384,715088
"상록구",383508,382533,379209,367063,356620,359979,364309,362147
"단원구",363527,360539,354452,353042,358030,357366,354075,352941
"고양시",990073,999098,1005102,1006992,1024645,1045497,1049513,1044242
"덕양구",425100,430013,433606,436865,448571,460881,468756,473370
"일산동구",277925,281635,284692,287473,287041,292616,293014,290321
"일산서구",287048,287450,286804,282654,289033,292000,287743,280551
"과천시",64817,60923,53583,53740,53830,58018,65880,73406
"구리시",180063,183905,189741,195868,192270,192051,187798,184114
"남양주시",629061,641589,644936,661866,681077,696033,713549,719886
"오산시",213840,215478,219877,228059,233998,240645,242297,242596
"시흥시",425184,429321,446369,480201,508749,535147,554074,557663
"군포시",285721,284301,280913,276860,275154,275571,270443,267750
"의왕시",154879,153629,151852,149599,155826,160230,160115,157318
"하남시",154838,195422,218994,238592,260544,279795,305470,315203
"용인시",971327,982590,996260,1026126,1052529,1066975,1067347,1064500
"처인구",231892,234916,240521,259524,266647,268242,268115,268863
"기흥구",407238,412713,416746,422583,434075,434871,435708,431163
"수지구",332197,334961,338993,344019,351807,363862,363524,364474
"파주시",415345,423957,430650,447906,454328,460541,475212,490765
"이천시",209003,214766,218798,220599,222995,226212,229321,227193
"안성시",194765,196362,198832,201135,202284,203030,203897,208619
"김포시",352683,365770,392438,424865,442910,474546,491572,491249
"화성시",608725,655350,708569,777295,838635,880859,906381,931472
"광주시",310278,322302,341046,364178,375238,385141,387700,392926
"양주시",205988,207009,212631,217776,224684,233286,239800,242995
"포천시",163388,162698,161239,161564,159871,157939,157602,163542
"여주시",109937,110273,111476,112096,111981,113352,113270,113831
"연천군",43846,44437,43990,43383,42540,42278,41642,41288
"가평군",58909,59391,59548,59957,59823,60233,59714,59755
"양평군",101930,105709,109359,111094,111836,113844,115616,116950
"강원도",1518040,1521751,1521386,1520391,1520127,1521763,1521890,1528037
"춘천시",281596,283027,283742,284985,284753,284645,287104,293124
"원주시",330854,337479,341338,344168,349319,352429,357224,361810
"강릉시",215677,215977,215914,215528,216357,216542,216560,215128
"동해시",90255,89527,89151,87830,86780,87801,87264,86772
"태백시",46715,45708,44733,43488,42474,41494,40395,39113
"속초시",79846,79109,78618,78312,78643,80054,80362,80903
"삼척시",69509,69364,67860,67881,67210,65939,64464,64289
"홍천군",67190,66791,67168,67177,66634,66587,65658,65215
"횡성군",42669,42927,43211,44116,44431,44649,44712,44864
"영월군",36967,37019,36934,36762,36332,36282,35728,35654
"평창군",40427,40470,40264,40025,39657,39258,38613,38699
"정선군",36701,36233,36002,35580,35255,34524,33786,33354
"철원군",46025,45433,44770,44346,43520,43042,41855,41145
"화천군",25343,24820,24625,23950,23425,23733,23092,22545
"양구군",22497,22454,22355,22101,21780,21317,21121,20824
"인제군",31219,30759,30524,30373,30133,30147,30670,30905
"고성군",28689,28984,28621,28127,27144,26572,26650,27127
"양양군",25861,25670,25556,25642,26280,26748,26632,26566
"충청북도",1589347,1603404,1611009,1620935,1629343,1632088,1624764,1624993
"충주시",211005,211890,212274,215224,216446,218412,215349,215783
"제천시",136350,137022,136929,136101,136093,134768,133750,130436
"청주시",833276,840338,842311,845036,850938,855326,856923,858500
"상당구",171877,169463,166664,170120,173783,184787,189611,191510
"서원구",222721,221143,221147,216409,210273,202390,195526,194132
"흥덕구",255542,257050,258308,258037,266301,270590,273483,274114
"청원구",183136,192682,196192,200470,200581,197559,198303,198744
"보은군",32522,32517,32253,32507,32001,31543,30929,30636
"옥천군",50704,50159,49898,49756,49117,48868,48507,48013
"영동군",49542,48879,49034,48475,48004,47016,45546,43813
"진천군",71152,74222,79186,83915,87525,89514,91779,93174
"괴산군",37830,38164,38579,38453,38808,38093,37526,37830
"음성군",102023,104635,104509,105539,104823,103725,100866,102564
"단양군",28770,28503,28411,28444,28095,27640,26937,26466
"증평군",36173,37075,37625,37485,37493,37183,36652,37778
"충청남도",2107802,2132566,2162426,2181416,2188649,2176636,2175960,2193214
"천안시",629062,638752,656294,671799,679743,682199,683888,687951
"동남구",277781,276627,273839,276455,279153,273764,270836,273967
"서북구",351281,362125,382455,395344,400590,408435,413052,413984
"공주시",113542,112928,111017,110119,109877,108333,106915,106038
"보령시",101852,101161,100922,100229,99320,99088,97390,96511
"아산시",319929,328287,338473,342272,347032,340518,348727,363197
"서산시",169221,169643,171364,174177,175204,176379,177497,177947
"논산시",124246,124202,123774,122843,122111,119707,117262,116852
"계룡시",39243,40576,41858,41557,41153,40854,41415,42416
"당진시",163762,166043,168508,169965,169171,168955,169507,171192
"금산군",55923,56697,55672,55015,54442,53758,52436,52399
"부여군",69017,68152,67028,66527,65337,64207,62415,61481
"서천군",54768,53880,53321,52604,51826,51039,50012,49509
"청양군",31653,31440,31299,31181,30783,30103,30103,29761
"홍성군",94114,100739,103048,103044,102791,102757,101618,100339
"예산군",81747,79425,78678,79136,78963,77838,76490,76967
"태안군",59723,60641,61170,60948,60896,60901,60285,60654
"전라북도",1834114,1833168,1826174,1818157,1807423,1802766,1787053,1774248
"전주시",658172,657766,656956,658912,662086,666517,670411,665884
"완산구",367243,365260,362132,348108,341123,342896,342394,338570
"덕진구",290929,292506,294824,310804,320963,323621,328017,327314
"군산시",275155,276394,273649,272204,270635,269023,267635,266438
"익산시",301723,300929,298928,294787,290119,285312,280150,277030
"정읍시",110627,109968,109263,108271,107348,106706,104463,103255
