"행정구역","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~9세","2022년_거주자_10~19세","2022년_거주자_20~29세","2022년_거주자_30~39세","2022년_거주자_40~49세","2022년_거주자_50~59세","2022년_거주자_60~69세","2022년_거주자_70~79세","2022년_거주자_80~89세","2022년_거주자_90~99세","2022년_거주자_100세 이상","2022년_남_거주자_총인구수","2022년_남_거주자_연령구간인구수","2022년_남_거주자_0~9세","2022년_남_거주자_10~19세","2022년_남_거주자_20~29세","2022년_남_거주자_30~39세","2022년_남_거주자_40~49세","2022년_남_거주자_50~59세","2022년_남_거주자_60~69세","2022년_남_거주자_70~79세","2022년_남_거주자_80~89세","2022년_남_거주자_90~99세","2022년_남_거주자_100세 이상","2022년_여_거주자_총인구수","2022년_여_거주자_연령구간인구수","2022년_여_거주자_0~9세","2022년_여_거주자_10~19세","2022년_여_거주자_20~29세","2022년_여_거주자_30~39세","2022년_여_거주자_40~49세","2022년_여_거주자_50~59세","2022년_여_거주자_60~69세","2022년_여_거주자_70~79세","2022년_여_거주자_80~89세","2022년_여_거주자_90~99세","2022년_여_거주자_100세 이상"
"경기도 성남시 수정구 (4113100000)","229,090","229,090","13,761","16,393","31,561","33,645","34,749","38,507","34,945","17,432","7,216","855","26","116,060","116,060","6,983","8,399","16,654","18,049","18,261","19,817","17,116","7,913","2,681","183","4","113,030","113,030","6,778","7,994","14,907","15,596","16,488","18,690","17,829","9,519","4,535","672","22"
"경기도 성남시 중원구 (4113300000)","209,277","209,277","12,397","15,258","28,134","31,714","30,864","35,454","32,468","15,573","6,582","810","23","105,698","105,698","6,263","7,885","14,579","17,124","16,199","17,916","15,884","7,195","2,490","158","5","103,579","103,579","6,134","7,373","13,555","14,590","14,665","17,538","16,584","8,378","4,092","652","18"
"경기도 성남시 분당구 (4113500000)","478,358","478,358","36,419","52,866","61,128","67,761","83,267","78,794","54,900","26,389","14,163","2,591","80","231,957","231,957","18,667","27,036","30,802","33,001","38,882","38,474","26,657","12,002","5,698","713","25","246,401","246,401","17,752","25,830","30,326","34,760","44,385","40,320","28,243","14,387","8,465","1,878","55"
"경기도 의정부시 (4115000000)","460,937","460,937","31,449","40,985","61,898","60,126","71,615","80,611","63,820","32,051","16,290","2,041","51","226,485","226,485","16,318","20,984","31,129","30,796","36,181","39,459","30,857","14,172","6,099","480","10","234,452","234,452","15,131","20,001","30,769","29,330","35,434","41,152","32,963","17,879","10,191","1,561","41"
"경기도 안양시 (4117000000)","545,641","545,641","36,968","49,874","71,281","78,687","84,031","94,378","78,529","33,574","15,873","2,394","52","269,403","269,403","18,847","25,841","36,868","40,501","41,576","45,727","38,180","15,615","5,682","559","7","276,238","276,238","18,121","24,033","34,413","38,186","42,455","48,651","40,349","17,959","10,191","1,835","45"
"경기도 안양시 만안구 (4117100000)","233,243","233,243","14,058","17,402","31,288","32,971","33,045","40,953","37,356","17,144","7,912","1,086","28","116,386","116,386","7,077","9,107","16,255","17,397","17,115","19,994","18,247","8,026","2,926","240","2","116,857","116,857","6,981","8,295","15,033","15,574","15,930","20,959","19,109","9,118","4,986","846","26"
"경기도 안양시 동안구 (4117300000)","312,398","312,398","22,910","32,472","39,993","45,716","50,986","53,425","41,173","16,430","7,961","1,308","24","153,017","153,017","11,770","16,734","20,613","23,104","24,461","25,733","19,933","7,589","2,756","319","5","159,381","159,381","11,140","15,738","19,380","22,612","26,525","27,692","21,240","8,841","5,205","989","19"
"경기도 부천시 (4119000000)","785,980","785,980","48,749","66,353","104,046","108,395","120,966","139,777","122,346","49,707","22,246","3,292","103","388,721","388,721","25,031","33,967","53,632","55,897","61,075","67,537","59,730","23,348","7,776","707","21","397,259","397,259","23,718","32,386","50,414","52,498","59,891","72,240","62,616","26,359","14,470","2,585","82"
"경기도 광명시 (4121000000)","286,560","286,560","20,307","29,143","34,775","38,263","48,270","48,247","39,785","18,214","8,350","1,169","37","140,884","140,884","10,345","14,955","17,987","19,606","23,681","23,979","18,862","8,313","2,889","261","6","145,676","145,676","9,962","14,188","16,788","18,657","24,589","24,268","20,923","9,901","5,461","908","31"
"경기도 평택시 (4122000000)","575,752","575,752","49,164","55,374","77,652","88,764","99,329","93,593","64,220","29,486","15,993","2,127","50","301,825","301,825","24,966","28,409","43,699","49,584","53,484","49,581","32,600","13,186","5,810","498","8","273,927","273,927","24,198","26,965","33,953","39,180","45,845","44,012","31,620","16,300","10,183","1,629","42"
